symbol,start_date,end_date
ETHUSDT_230929,2023-06-01,2023-09-30
ETHUSDT_231229,2023-08-01,2023-12-30
ETHUSDT_240329,2023-09-01,2024-03-30
ETHUSDT_240628,2023-12-01,
ETHUSDT_240927,2024-03-01,
ETHWUSDT,2023-11-01,
FETUSDT,2023-01-01,
FILBUSD,2022-07-01,2023-12-31
FILUSDC,2024-04-01,
FILUSDT,2020-10-01,
FLMUSDT,2020-09-01,
FLOWUSDT,2022-02-01,
FOOTBALLUSDT,2022-09-01,
FRONTUSDT,2023-09-01,
FTMBUSD,2022-05-01,2023-12-31
FTMUSDT,2020-09-01,
FTTBUSD,2021-09-01,2023-12-31
FTTUSDT,2022-04-01,
FXSUSDT,2023-01-01,
GALABUSD,2022-05-01,2023-12-31
GALAUSDT,2021-09-01,
GALBUSD,2022-05-01,2023-12-31
GALUSDT,2022-05-01,
GASUSDT,2023-10-01,
GLMRUSDT,2023-09-01,
GLMUSDT,2024-02-01,
GMTBUSD,2022-05-01,2023-12-31
GMTUSDT,2022-03-01,
GMXUSDT,2023-02-01,
GRTUSDT,2020-12-01,
GTCUSDT,2021-06-01,
HBARUSDT,2021-03-01,
HFTUSDT,2023-04-01,
HIFIUSDT,2023-09-01,
HIGHUSDT,2023-02-01,
HNTUSDT,2020-09-01,
HOOKUSDT,2023-01-01,
HOTUSDT,2021-03-01,
ICPBUSD,2022-06-01,2023-03-31
ICPUSDT,2021-05-01,
ICPUSDT_SETTLED,2022-01-01,2022-09-30
ICXUSDT,2020-09-01,
IDEXUSDT,2023-05-01,
IDUSDT,2023-03-01,
ILVUSDT,2023-11-01,
IMXUSDT,2022-02-01,
INJUSDT,2022-08-01,
IOSTUSDT,2020-02-01,
IOTAUSDT,2020-02-01,
IOTXUSDT,2021-08-01,
JASMYUSDT,2022-04-01,
JOEUSDT,2023-03-01,
JTOUSDT,2023-12-01,
JUPUSDT,2024-01-01,
KASUSDT,2023-11-01,
KAVAUSDT,2020-07-01,
KEEPUSDT,2021-06-01,2022-02-28
KEYUSDT,2023-05-01,
KLAYUSDT,2021-10-01,
KNCUSDT,2020-06-01,
KSMUSDT,2020-10-01,
LDOBUSD,2022-07-01,2023-12-31
LDOUSDT,2022-09-01,
LENDUSDT,2020-07-01,2020-11-30
LEVERBUSD,2022-07-01,2023-12-31
LEVERUSDT,2023-03-01,
LINAUSDT,2021-03-01,
LINKBUSD,2022-06-01,2023-12-31
LINKUSDC,2024-02-01,
LINKUSDT,2020-01-01,
LITUSDT,2021-02-01,
LOOMUSDT,2023-10-01,
LPTUSDT,2021-11-01,
LQTYUSDT,2023-03-01,
LRCUSDT,2020-10-01,
LSKUSDT,2024-01-01,
LTCBUSD,2022-07-01,2023-12-31
LTCUSDC,2024-04-01,
LTCUSDT,2020-01-01,
LUNA2BUSD,2022-06-01,2023-03-31
LUNA2USDT,2022-09-01,
LUNABUSD,2022-05-01,2022-05-31
LUNAUSDT,2021-01-01,2022-05-31
MAGICUSDT,2023-01-01,
MANAUSDT,2021-03-01,
MANTAUSDT,2024-01-01,
MASKUSDT,2021-08-01,
MATICBUSD,2022-07-01,2023-12-31
MATICUSDC,2024-04-01,
MATICUSDT,2020-10-01,
MAVIAUSDT,2024-02-01,
MAVUSDT,2023-06-01,
MBLUSDT,2023-11-01,
MDTUSDT,2023-06-01,
MEMEUSDT,2023-11-01,
METISUSDT,2024-03-01,
MINAUSDT,2023-02-01,
MINAUSDTSETTLED,2023-02-01,2023-02-28
MKRUSDT,2020-08-01,
MOVRUSDT,2023-12-01,
MTLUSDT,2021-03-01,
MYROUSDT,2024-03-01,
NEARBUSD,2022-05-01,2023-12-31
NEARUSDC,2024-04-01,
NEARUSDT,2020-10-01,
NEOUSDC,2024-04-01,
NEOUSDT,2020-02-01,
NFPUSDT,2023-12-01,
NKNUSDT,2021-04-01,
NMRUSDT,2023-06-01,
NOTUSDT,2024-05-01,
NTRNUSDT,2023-11-01,
NUUSDT,2021-10-01,2022-02-28
OCEANUSDT,2020-11-01,
OGNUSDT,2021-04-01,
OMGUSDT,2020-07-01,
OMNIUSDT,2024-04-01,
OMUSDT,2024-02-01,
ONDOUSDT,2024-01-01,
ONEUSDT,2021-03-01,
ONGUSDT,2023-11-01,
ONTUSDT,2020-02-01,
OPUSDT,2022-06-01,
ORBSUSDT,2023-10-01,
ORDIUSDC,2024-02-01,
ORDIUSDT,2023-11-01,
OXTUSDT,2023-08-01,
PENDLEUSDT,2023-07-01,
PEOPLEUSDT,2021-12-01,
PERPUSDT,2023-03-01,
PHBBUSD,2022-09-01,2023-12-31
PHBUSDT,2023-02-01,
PIXELUSDT,2024-02-01,
POLYXUSDT,2023-10-01,
PORTALUSDT,2024-02-01,
POWRUSDT,2023-10-01,
PYTHUSDT,2023-11-01,
QNTUSDT,2022-10-01,
QTUMUSDT,2020-02-01,
RADUSDT,2023-05-01,
RAYUSDT,2021-08-01,
RDNTUSDT,2023-04-01,
REEFUSDT,2021-02-01,
RENUSDT,2020-10-01,
REZUSDT,2024-04-01,
RIFUSDT,2023-10-01,
RLCUSDT,2020-07-01,
RNDRUSDT,2023-02-01,
RONINUSDT,2024-02-01,
ROSEUSDT,2021-12-01,
RSRUSDT,2020-10-01,
RUNEUSDT,2020-09-01,
RVNUSDT,2021-02-01,
SAGAUSDT,2024-04-01,
SANDBUSD,2022-07-01,2023-12-31
SANDUSDT,2021-01-01,
SCUSDT,2021-04-01,
SEIUSDT,2023-08-01,
SFPUSDT,2021-02-01,
SKLUSDT,2020-12-01,
SLPUSDT,2023-10-01,
SNTUSDT,2023-11-01,
SNXUSDT,2020-08-01,
SOLBUSD,2021-09-01,2023-12-31
SOLUSDC,2024-01-01,
SOLUSDT,2020-09-01,
SPELLUSDT,2022-09-01,
SRMUSDT,2020-09-01,
SSVUSDT,2023-02-01,
STEEMUSDT,2023-11-01,
STGUSDT,2022-08-01,
STMXUSDT,2021-03-01,
STORJUSDT,2020-09-01,
STPTUSDT,2023-10-01,
STRAXUSDT,2023-10-01,
STRKUSDT,2024-02-01,
STXUSDT,2023-02-01,
SUIUSDC,2024-02-01,
SUIUSDT,2023-05-01,
SUPERUSDT,2023-11-01,
SUSHIUSDT,2020-09-01,
SXPUSDT,2020-07-01,
TAOUSDT,2024-04-01,
THETAUSDT,2020-05-01,
TIAUSDC,2024-04-01,
TIAUSDT,2023-10-01,
TLMBUSD,2022-06-01,2023-12-31
TLMUSDT,2021-07-01,
TLMUSDTSETTLED,2022-01-01,2023-03-31
TNSRUSDT,2024-04-01,
TOKENUSDT,2023-11-01,
TOMOUSDT,2020-10-01,
TONUSDT,2024-03-01,
TRBUSDT,2020-09-01,
TRUUSDT,2023-03-01,
TRXBUSD,2022-05-01,2023-12-31
TRXUSDT,2020-01-01,
TURBOUSDT,2024-05-01,
TUSDT,2023-02-01,
TWTUSDT,2023-11-01,
UMAUSDT,2023-05-01,
UNFIUSDT,2021-02-01,
UNIBUSD,2022-08-01,2023-12-31
UNIUSDT,2020-09-01,
USDCUSDT,2023-03-01,
USTCUSDT,2023-11-01,
VANRYUSDT,2024-03-01,
VETUSDT,2020-02-01,
WAVESBUSD,2022-06-01,2023-12-31
WAVESUSDT,2020-08-01,
WAXPUSDT,2023-10-01,
WIFUSDC,2024-04-01,
WIFUSDT,2024-01-01,
WLDUSDC,2024-03-01,
WLDUSDT,2023-07-01,
WOOUSDT,2022-04-01,
WUSDT,2024-04-01,
XAIUSDT,2024-01-01,
XEMUSDT,2021-03-01,
XLMUSDT,2020-01-01,
XMRUSDT,2020-02-01,
XRPBUSD,2021-08-01,2023-12-31
XRPUSDC,2024-01-01,
XRPUSDT,2020-01-01,
XTZUSDT,2020-02-01,
XVGUSDT,2023-07-01,
XVSUSDT,2023-04-01,
YFIIUSDT,2020-09-01,2022-04-30
YFIUSDT,2020-08-01,
YGGUSDT,2023-08-01,
ZECUSDT,2020-02-01,
ZENUSDT,2020-11-01,
ZETAUSDT,2024-02-01,
ZILUSDT,2020-06-01,
ZRXUSDT,2020-06-01,
